Sr. No.,Nature of Agreement ,Date of Agreement,Group Entity,Name of the counter party,Proposed Services,Tenure & Termination,Consideration involved,SLA Involved,Primary Contact -           For India Bonds,Primary Contact -                                    For Vendor,Remarks,,,
75,First Addendum Agreement to Participation Contract,18-Aug-25,India Bond Private Limited,Trasol Events Private Limited,"IndiaBonds to participate in the Money Expo India event scheduled to be held at Jio World Convention Centre, Mumbai, as one of the sponsors",,"INR 300,000",NA,"Anushri Thakur 
Sriram Subramaniam",,,,,
76,Master Service Agreement,5-Aug-25,India Bond Private Limited,Canarys Automations Limited,"specified GitHub licenses through the Service Provider as stated
in Exhibit A and the Service provider has agreed to provide GitHub Licenses on the terms
and conditions appearing hereinafter","The Agreement shall commence on effective date and continue until all SOWs are completed or till Agreement is
terminated by either of the Parties whichever is earlier","Monthly Unit
Price (?): ? 1,800.00 plus GST 

Quantity: 20 units 

Annual Total
Price (?): ? 4,32,000.00 plus GST",Yes. ,"Vishal Mody 
Shaurya Dhaka ","Name: Sudheer Chandra
Designation: Business Development Manager
Address: Canarys Automations Limited,
566 & 567, 30th Main, Attimabbe Road,
Banagirinagara, Banashankari 3rd Stage.
Bengaluru, Karnataka 560085
Email: Sudheer.chandra@ecanarys.com",,,,
77,AGREEMENT FOR REGISTRATION OF DIRECT REFERRAL ASSOCIATE,11-Aug-25,India Bond Private Limited,RKSV SECURITIES INDIA PRIVATE LIMITED,"DRA will introduce/refer prospective Users who are interested in making transactions / exploring the products offered on the Platform, through digital redirection to the Platform, mutually agreed as per Annexure A",Either Party may terminate this Agreement after giving 30 days prior written notice to the Other Party.,referral fees based on “Flat Referral Rates” for all referred persons (subject to the deduction of applicable taxes) to the DRA as per Annexure B,No,Anand Sonawane ,Amit Chhotalal Lalan,,,,
78,Amendment No. 1 to AGREEMENT FOR REGISTRATION OF DIRECT REFERRAL ASSOCIATE,29-Oct-25,India Bond Private Limited,RKSV SECURITIES INDIA PRIVATE LIMITED,Addition of Notice Clause in the Main Agreement.,-,-,No,"Mr. Anand Sonawane
605, 6th Floor, Windsor, Off CST Road,
Kalina, Santacruz (East),
Mumbai, Maharashtra: 400098
For business & operational matters: rksv@indiabonds.com
For any approvals, compliance & legal matters:
compliance@indiabonds.com","Legal Team
21st Floor, Sunshine Tower, Senapati Bapat Marg, Dadar (W), Mumbai, Maharashtra 400013.
For business & operational matters:
aditya.vyas@rksv.in and sushilkumar.bharpure@rksv.in
For any approvals, compliance & legal matters:
legal@rksv.in; core_compliance@rksv.in
and contracts@rksv.in.",,,,
79,Memorandum of Understanding ,6-Aug-25,India Bond Private Limited,India FinTech Forum,Participation in the India FinTech Awards 2025,Until completion of deliverables or till 31st May 2025 (whichever is earlier),"INR 166,500/-",No,Anushri Thakur,"Riny Kumar, 
Senior Manager 
email: riny@indiafintech.com",,,,
80,Engagement Letter for Rendering Professional Services ,27-Mar-25,IB Future Tech Private Limited ,Ohm Dovetail Global Admin Services Private Limited ,Provide Management consulting services ,Upto 30th May 2025,"INR 5,91,000/- plus applicable taxes",No,"Jenil Sheth
Vice President",Mr. Vivek Singhania,,,,
81,Service Agreement,16-Oct-25,India Bond Private Limited,Skillr Talent Private Limited,availing chatbot services from Fundamento,"The term of this Agreement shall be one (1) year commencing from the Effective 
Date, subject to an initial lock-in period of two (2) months starting from the Go-Live 
Date",As per Annexure I ,Yes,"Vishal Mody 
Address: 605, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz - (East), Mumbai – 
400 098 
Contact no.: 8097176190 
Email ID:tech@indiabonds.com","Attention: Prapurna Sharma 
Address: A-38, New Friends Colony, New Delhi 110065 
Contact No.: +91 95402 09130/9770552023 
Email Id: prapurna@fundamento.ai ",,,,
82,Service Agreement,19-Nov-25,India Bond Private Limited,Socio Spy Media ,"to identify, evaluate, and shortlist
suitable Digital Content Creators as per the requirements specified and to provide such other ancillary services as deemed appropriate.",shall remain in force for a period of twelve (12) months,"As per Annexure - C  ""Commercials""",No,"Mr. Anand Sonawane/Sriram Subramanian
8097176193
Compliance@indiabonds.com &
marcom@indiabonds.com","Mr Minesh Girish Santani
D-118, Regency Plaza, Shantinagar, Ulhasnagar - 421 004
+91 89838 41226
minesh@sociospy.com",,,,
83,MASTER SOFTWARE LICENSING AGREEMENT,27-Nov-25,India Bond Private Limited,Quant Legaltech India Private Limited,"non-exclusive, non-assignable, royalty free, right to access and use the
Complius Platform (“Platform”) for the proposed Services",Perpetual with 5 years lock-in period ,"Schedule E:
Monthly License Fees - INR 7,500
One-time Set up fees - INR 30,000
",Schedule F,Anand Vikas Sonawane ,Amit Sengupta,,,,
84,Service Agreement,19-Nov-25,India Bond Private Limited,Mr. Madurai Veeran Marimuthu,Digital Content Creation,"12 months or until completion and delivery of Deliverables to satisfaction of IBPL, whichever is  earlier. ",Annexure C - Commercials ,No,"Mr. Anand Vikas Sonawane 
8097176193
compliance@indiabonds.com 
marcom@indiabonds.com ","Mr. Madurai Veeran Marimuthu
40/62A, Foxen Street, Perambur, Chennai - 600011
9629150744
mmadhuveera@yahoo.co.in",,,,
85,Service Agreement,19-Nov-25,India Bond Private Limited,Walnut Folks Services Private Limited,Digital Content Creation,12 months,Annexure C - Commercials ,No,"Mr. Anand Vikas Sonawane 
8097176193
compliance@indiabonds.com 
marcom@indiabonds.com ","Mr. Hitesh Lalwani
17/R , HSR Layout 3rd Sector Bus Stop, 18 cross road ,HSR layout. Bengaluru, Bengaluru Urban, Karnataka - 560102
8296373038
accounts@walnutfolks.com
sowmya.shetty@walnutfolks.com
",,,,
86,Service Agreement,13-Jan-26,IndiaBonds Money Private Limited,Walnut Folks Services Private Limited,Digital Content Creation,12 months,Annexure B - Commercials ,No,"Mr. Vishal Mody  

6th Floor, 605,Windsor, Off CST Road,
Mumbai- 400 098","Mr. Hitesh Lalwani
17/R , HSR Layout 3rd Sector Bus Stop, 18 cross road ,HSR layout. Bengaluru, Bengaluru Urban, Karnataka - 560102
8296373038
accounts@walnutfolks.com
sowmya.shetty@walnutfolks.com
",,,,
87,Broadcast Service Agreement,28-Nov-25,India Bond Private Limited,Network18 Media & Investments Limited,"to enhance awareness of its brand “IndiaBonds,” as well as promote investor education and awareness regarding bonds and fixed income securities/instruments broadcast through channel of Broadcaster as well as through various digital and social media platforms of Broadcaster

",1st December 2025 to 25th May 2026,"Annexure B
INR 350,00,000 (Three Hundred Fifty Lacs)",No,Mr. Anand Sonawane,"Legal Team,
Mangesh Chavan
9821125207
legal@nw18.com- for Legal Matters
Mangesh.Chavan@nw18.com – For Finance and related matters",,,,
88,First Addendum to Broadcast Service Agreement,26-Dec-25,India Bond Private Limited,Network18 Media & Investments Limited,"the campaign end date under
Clause 2.1 of the Agreement shall stand extended from 25 May 2026 to 30 June 2026",,,,Mr. Anand Sonawane,"Legal Team,
Mangesh Chavan
9821125207
legal@nw18.com- for Legal Matters
Mangesh.Chavan@nw18.com – For Finance and related matters",,,,
89,Data Service Agreement ,9-Oct-25,India Bond Private Limited,Value Research India Private Limited ,"Value Research will provide aggregated data rela??ng to mutual funds and stocks listed on
Indian stock exchanges without engaging in investment advisory or providing bespoke advice","This Agreement shall come into force with effect from the Execu??on Date and shall con??nue to be in
effect unless terminated by either Party","INR 3,75,000/- per annum (Fees) which shall be paid by the Recipient within 30 (thirty) days from
the date of receipt of invoice.",No,Mr. Anand Sonawane,"Mr. Aneesh Nair
Lead: Admin & Invoicing
Value Research India Private Limited, C- 103,
Sector - 65, Noida - 201301
aneesh@valueresearch.in ",,,,
90,License Agreement,9-Sep-25,IB Future Tech Private Limited ,Corporate Professionals India Private Limited,"Application/Product to Client to manage the ESOP plans. The details of the Product, application, functionalities and the maintenance and support services set forth in the “Annexure-I”",Perpetual ,"Annexure II - Fees & Charges 
Employee management upto 100 – Rs. 70,000 per year
Additional – Rs. 770 per additional user
Customization - at actuals
Old Data Migration - Rs. 1000 per man hour 
",Yes. Annexure III,"Name: Anand Sonawane
Designation: Director","Name: Mr. Manoj Kumar
Designation: Director
Address: D-28, South Extension, Part I, New Delhi- 110049
Email: manoj@indiacp.com",,,,
91,Master Services Agreement,21-Nov-25,India Bond Private Limited,Zigram Data Technologies Private Limited,PreScreening.io (or equivalent) screening application for the explicit purposes of conducting AML name screening,Period of 3 years.,as more detailed in associated Annexure(s) or Work Order(s),Yes. The COMPANY shall maintain the service levels as mutually agreed by the Parties.,"Anand Sonawane
8097176215
tech@indiabonds.com","Yash Goyal
+91 – 9509 73 5458
yash.goyal@zigram.tech",,,,
92,KYC Registration Agency Agreement,4-Dec-25,India Bond Private Limited,CDSL Ventures Limited,KYC Registration Agency ,Perpetual ,Yes,Yes. As communicated by CDSL. ,,,,,,
93,Master Service Agreement,5-Nov-25,Indiabonds Money Private Limited,Upswing Financial Technologies Private Limited,"market, promote and make available Fixed Deposits to its Customers through its Mobile Application and/or Website or through physical / offline mode. ",Perpetual ,Yes. (Annexure 2),Yes. (Annexure 3),"Mr. Vishal Mody, Director
","Mr Anupam Bagchi
906, Riddhi Tower Garden,
A K Vaidya Marg, Off Film City Road,
Nr Wageshwari Mandir, Malad(E),
Mumbai-400097, Maharashtra",,,,
94,Terms and Conditions,27-Nov-25,India Bond Private Limited,Omkar Satam Films,Digital Content Creation,completion and delivery of Deliverables to satisfaction of IBPL. ,"Payment Terms as per Annexure A. 
INR 10,50,000/- ",No,"Mr. Sriram Subramanian
9029679643
","Mr. Omkar Satam,
9309382545
omkarsatam@omkarsatamfilms.com",,,,
95,Cost Sharing Agreement,23-Dec-25,India Bond Private Limited,IndiaBonds Money Private Limited,"utilizing the office premises as its Registered Office and availing required administrative and other support services on a shared basis

",Perpetual. Sixty (60) days prior written notice,"INR 25,000/- per month ",No,Anand Vikas Sonawane ,Vishal Yatin Mody,,,,
96,Master Services Agreement,2-Jan-26,India Bond Private Limited,Vodafone Idea Limited ,the call recording solution service and cloud storage service through its authorized business partner BK systems,"the initial term as provided in Schedule 2.
After initial term, Agreement shall continue to be renewed for one (1) year period with prior permission of Customer
","Plan Name - MCRS_650_1KM_100S

Rental - 650",No,"Admin Department, India Bond Private Limited, 605, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz (East), Vidyanagari, Mumbai - 400098","Head of Business,
CC: General Counsel,
Vodafone Idea India Limited, Peninsula Corporate Park, Ganapatrao Kadam Marg, Lower Parel, Mumbai 400013.","India Bond has executed. 
Vodafone Idea - processing and execution pending at their end. ",,,
97,Services Agreement,24-Nov-25,India Bond Private Limited,Epaphra,Digital Content Creation,15 working days or until the completion and delivery of deliverable under this Agreement to the satisfaction of Company ,Annexure B ,No,"Mr. Sriram Subramanian
9029679643
","Mr. Epaphra
C815, Urbanrise Revolution One, Padur - 603103, Tamil Nadu
+919600770424",,,,
98,Data Processing Agreement ,31-Dec-25,India Bond Private Limited,Kumar & Co.,"Data Processing Agreement (DPA) for the purpose
of PDF to JSON conversion of CAS statement of Controller’s Users (generated by
CAMS/KFintech, CDSL & NSDL) on real time basis. Upon upload of a CAS statement by a
User, an output report is generated in a structured and machine-readable format.",1 (One) years,"INR 1,25,000/- + GST to be paid biannually
(every six months) for 750 (seven fifty) PDF to JSON
conversions in a month. Any additional PDF to JSON conversions
(over and above 750 (Seven Fifty) PDF to JSON conversions) shall
be payable at INR 30 (Rupees Thirty) per successful conversion.",Yes.,"Name: Vishal Mody
Email: Vishal.Mody@indiabonds.com","Name: Sameer Kumar
Email: sameer@casparser.in",,,,
99,EXHIBITOR AGREEMENT,16-Jan-26,India Bond Private Limited,TDFS3 Digital Fifth Private Limited,"India Bond Private Limited to be one of the EXHIBITORS in the Event and in return, avail EXHIBITOR Benefits in
accordance with the terms of this Agreement.","EXHIBITOR receiving the Benefits as detailed under Annexure I (Term) or till 15th May 2026 (Expiry Date) or till
termination of this Agreement whichever is earlier.","Annexure II (INR 3,75,000/-)",No,"Anushri Thakur 
anushri.thakur@indiabonds.com ","Sakshi Toprani 
sakshi.toprani@thedigitalfifth.com",,,,
100,Services Agreement,3-Feb-26,India Bond Private Limited,Mr. Tamil Selvan,Digital Content Creation (Annexure A),12 months,Annexure C - Commercials ,No,"Mr. Anand Vikas Sonawane 
8097176193
compliance@indiabonds.com 
marcom@indiabonds.com ","Mr. Tamil Selvan
2/402-8, KANNAPPAN NAGAR, NEW HOUSING
BOARD, KRISHNAGIRI – 635002, TAMIL NADU",,,,
101,Technology Service Provider Agreement,29-Jan-26,India Bond Private Limited,Perfios Software Solutions Private Limited,Annexure I - Order Form I,three (3) years from the Effective Date,Annexure I - Order Form I,Yes. ,"Ashit Raja
Address: 605, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz (East), Mumbai, Maharashtra 400098, India
Email ID: api@indiabonds.com","4th Floor, Lasker, HM Vibha Towers, 66/525, Hosur Road, Chikku Lakshmaiah Layout, Adugodi, Bengaluru, Karnataka 560030
Email ID: ext-legal@perfios.com",,,,
102,Business Associate Agreement,14-Jan-26,IndiaBonds Money Private Limited,Shriram Finance Limited,Annexure A,5 years unless terminated earlier by either party,payment of commission/ fee as prescribed in Annexure B,No,"605, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz (East), Mumbai- 400 098
Telephone:9820221813 
Email:tech@indiabonds.com
","Shriram Finance Limited ,6th Floor (Level 2) Building No. Q2, Aurum Q Parc Gen 4/1TTC, Thane Belapur Road Ghansoli, Navi Mumbai – 400710
Telephone: 022-40957575 Email: ba.care@shriramfinance.in
",,,,
103,Master Service Agreement,27-Feb-26,India Bond Private Limited,INFOCUS-IT Consulting Private Limited,audit support services in connection with ISO/IEC 27001:2022 certification (Schedule A),Perpetual ? To be confirmed..,"INR 1,20,000/- (Indian Rupees One Lakh Twenty Thousand only) excluding taxes. 
(Schedule B)",No,"Mr. Vishal Mody
605, 6th Floor,
Windsor, Off CST Road,
Kalina, Santacruz (East),
Mumbai- 400 098
Email ID – vishal.mody@indiabonds.com","Mr. Jagbir Singh
INFOCUS IT CONSULTING PVT LTD
A – 19 Yadav Park,
New Delhi – 110041
Tel No. – 91-8800827932
Email ID – jagbir@infocus-it.com",,,,
104,Business Associate Agreement,19-Feb-26,India Bond Private Limited,Shriram Finance Limited,To source customers for Deposits through physical mode as well as online platform options. ,"for a period of 5 years unless terminated earlier by either party. 

30 days notice",2. The Sourcing Fee shall be payable at such rates as may be mutually agreed between the Parties from time to time.,No,"Address: 605, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz (East), Mumbai- 400 098
Telephone: 9820221813 
Email:tech@indiabonds.com","Address: Shriram Finance Limited, 6th Floor (Level 2) Building No. Q2, Aurum Q Parc Gen 4/1TTC, Thane Belapur Road Ghansoli, Navi Mumbai – 400710
Telephone: 022-40957575 Email: ba.care@shriramfinance.in",,,,
105,First Addendum to Service Agreement,26-Feb-26,India Bond Private Limited,Skillr Talent Private Limited,,,,,,,,,,
106,Master Services Agreement,27-Feb-26,India Bond Private Limited,Hurix Systems Private Limited ,Appointment as Auditor and independent service provider to perform comprehensive accessibility audit of the Customer's website and accessibility audit. ,shall remain in force until completion of Services under the applicable Statement of Work. ,"As per the Statement of Work (INR 1,61,860)",No,"Legal related matters 
compliance@indiabonds.com

Tech related matters
tech@indiabonds.com ","Kind Attention: Manoj Gupta, AVP Finance

legal@hurix.com",,,,
107,Services Agreement,17-Mar-26,India Bond Private Limited,SIS Limited,personnel / manpower/ security personnel and related manpower services for safeguarding office ,01st January 2026 to 31st December 2026,"As per Annexure I - INR 43,530",No,"Vishal Mody
admin@indiabonds.com","Ashish Omprakash Singh
ashish2.singh@sisindia.com",,,,
108,Services Agreement,23-Feb-26,India Bond Private Limited,M/s. Digiwhistle,"to identify, evaluate, and shortlist
suitable Digital Content Creators as per the requirements specified and to provide such other ancillary services as deemed appropriate.","shall remain in force for a period of twelve (12) months, unless earlier terminated in accordance with the provisions herein","Annexure C - Commercials 

6 % of the total invoice amount raised in a month for Digital Educator and Awareness creators",No,"Mr. Sriram
605, 6th Floor, Windsor, Off CST Road,
Mumbai- 400 098
+91 90296 79643

Compliance@indiabonds.com –
For all legal and compliance related communications
marcom@indiabonds.com – For all other
communications","Mr. Pratyush Singh

Office 814 & 816, 8th Floor, Anthurium Noida, Sector 73
9599205975

pratyush@digiwhistle.com",,,,
109,Memorandum of Understanding ,28-Apr-26,India Bond Private Limited,TEAM Association ,IndiaBond’s participation in the Mumbai Tech Week 2026 (“Event”) as an official Participant,shall continue until the completion of the Deliverables or till 31st May 2026 (whichever is earlier).,"INR 7,00,000 plus GST/taxes ",No,"Kind Attention: Kanan Shah Kind Attention: Anushri Thakur
Email Id: kanan@mumbaitech.team Email Id: anushri.thakur@indiabonds.com
Address: : HD-290, WeWork, C 20, G-Block, BKC, Bandra East, Mumbai-400051 Address: 605, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz (East), Mumbai - 400098
","Kind Attention: Kanan Shah Kind Attention: Anushri Thakur
Email Id: kanan@mumbaitech.team Email Id: anushri.thakur@indiabonds.com
Address: : HD-290, WeWork, C 20, G-Block, BKC, Bandra East, Mumbai-400051 Address: 605, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz (East), Mumbai - 400098
Mobile: 8879541712 Mobile:
",,,,
110,Amendment and Accession Agreement ,"22nd April, 2026",India Bond Private Limited and IB Future Tech Private Limited ,Darwinbox Digital Solutions Private Limited,"access to its Darwinbox Human Resource Management Cloud Solution (""Software"") wherein IB Future Tech is being introcued as a party","3 (three) years;
auto-renew for successive period of 1 (one) year unless earlier terminated","India Bond INR 6,40,000/-p.a. for 120 users and 2,500/- per user post 120 users.      IB Future Tech INR 1,60,000/- p.a. for 30 users and  2,500/- per user post 30 users.",,Mihir More,,,,,
111,Account Aggregator Service Agreement ,"16th April, 2026",India Bond Private Limited,Finsec AA solutions private limited,Provide account aggregator services,3 (three) years and will be renewed by one year at option of IB,consideration as per BrokenTusk Technologies Pvt Ltd  and IB,No,Vishal Mody,Compliance officer ,,,,
112,4th Addendum to the Outsourcing agreement    ,"7th May, 2026",India Bond Private Limited,Swami Samarth Facility,Providing manpower i.e  2 (two)Pantry Boys ,"1 year w.e.f 1st April, 2026 ","1 pantry boy INR 26,423/- pm and 2 pantry boy INR 25,855/- pm",No, ,,,,,
113,Service Agreement,"11th May, 2026",India Bond Private Limited,TechD cyber security Ltd ,"providing cyber Security and Resilience Audit, VAPT","1 year w.e.f. 11th may, 2026","Total INR 3,50,000/-",No,Anand Sonawane,,,,,
114,Service Agreement,"11th May, 2026",India Bond Private Limited,Finance with Sharan,Providing Digital  eductaor and Awareness cerators,"1 year w.e.f. 11th may, 2026",8% of the total invoivce amount ,No,Anand Sonawane,,,,,
115,2nd addendum agreement,"20th May, 2026",India Bond Private Limited,Skillr Talent Private Limited (Fundamento),Addendum to incorporate additional services ,"term extended by 1 more year from earlier  term of 1year expiring on 15th Oct, 2026",as provided ,no,Anand Sonawane ,,,,,
116,Platform Agreement ,"5th Nov, 2025",India Bond Private Limited,IndiaBond Money Pvt Ltd ,for providing platform ,Perpetual,Free upto 6  months and Rs 200 or as mutually agreed per client upon sucessful purchase of TPP,no,Anand Sonawane,Vishal Yatin Mody,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
